OD / in,OD / mm,Order Num,Length / in,Length / mm,Rate / lbs per in,Rate / N per mm,Initial Tension / lbs,Initial Tension / N,Sugg. Max. Defl. / in,Sugg. Max. Defl. / mm,Sugg. Max. Load / lbs,Sugg. Max. Load / N,Wire Dia. / in,Wire Dia. / mm,MAT'L,FNSH
0.063,1.60,80000,.25,6.4,1.0,.18,.03,.1,.29,7.4,.32,1.4,0.007,0.18,MW,N
0.063,1.60,80000S,.25,6.4,.85,.15,.03,.1,.22,5.7,.22,.96,0.007,0.18,SST,N
0.063,1.60,80005,.25,6.4,2.0,.35,.04,.2,.21,5.4,.46,2.1,0.008,0.20,MW,N
0.063,1.60,80005S,.25,6.4,1.7,.30,.03,.2,.16,4.0,.30,1.3,0.008,0.20,SST,N
0.063,1.60,80012,.25,6.4,3.7,.65,.06,.3,.16,4.0,.65,2.9,0.009,0.23,MW,N
0.063,1.60,80012S,.25,6.4,3.1,.55,.05,.2,.12,3.0,.42,1.9,0.009,0.23,SST,N
0.063,1.60,80019,.25,6.4,11,1.9,.1,.4,.09,2.4,1.1,5.1,0.011,0.28,MW,N
0.063,1.60,80019S,.25,6.4,9.4,1.7,.09,.4,.07,1.8,.74,3.3,0.011,0.28,SST,N
0.063,1.60,80020,.31,7.9,7.9,1.4,.1,.4,.13,3.4,1.1,5.1,0.011,0.28,MW,N
0.063,1.60,80020S,.31,7.9,6.7,1.2,.09,.4,.10,2.5,.74,3.3,0.011,0.28,SST,N
0.063,1.60,80001,.31,8.0,.70,.12,.03,.1,.42,11,.32,1.4,0.007,0.18,MW,N
0.063,1.60,80001S,.31,8.0,.59,.10,.03,.1,.32,8.2,.22,.96,0.007,0.18,SST,N
0.063,1.60,80006,.31,8.0,1.4,.25,.04,.2,.30,7.7,.46,2.1,0.008,0.20,MW,N
0.063,1.60,80006S,.31,8.0,1.2,.21,.03,.2,.22,5.7,.30,1.3,0.008,0.20,SST,N
0.063,1.60,80013,.31,8.0,2.7,.47,.06,.3,.22,5.5,.65,2.9,0.009,0.23,MW,N
0.063,1.60,80013S,.31,8.0,2.3,.40,.05,.2,.16,4.1,.42,1.9,0.009,0.23,SST,N
0.063,1.60,80002,.38,9.5,.52,.09,.03,.1,.57,14,.32,1.4,0.007,0.18,MW,N
0.063,1.60,80002S,.38,9.5,.44,.08,.03,.1,.44,11,.22,.96,0.007,0.18,SST,N
0.063,1.60,80007,.38,9.5,1.1,.19,.04,.2,.38,9.8,.46,2.1,0.008,0.20,MW,N
0.063,1.60,80007S,.38,9.5,.94,.16,.03,.2,.28,7.2,.30,1.3,0.008,0.20,SST,N
0.063,1.60,80014,.38,9.5,2.1,.37,.06,.3,.28,7.1,.65,2.9,0.009,0.23,MW,N
0.063,1.60,80014S,.38,9.5,1.8,.31,.05,.2,.21,5.3,.42,1.9,0.009,0.23,SST,N
0.063,1.60,80021,.38,9.7,5.9,1.0,.1,.4,.18,4.5,1.1,5.1,0.011,0.28,MW,N
0.063,1.60,80021S,.38,9.7,5.0,.88,.09,.4,.13,3.3,.74,3.3,0.011,0.28,SST,N
0.063,1.60,80003,.44,11.1,.42,.07,.03,.1,.70,18,.32,1.4,0.007,0.18,MW,N
0.063,1.60,80003S,.44,11.1,.35,.06,.03,.1,.54,14,.22,.96,0.007,0.18,SST,N
0.063,1.60,80008,.44,11.1,.89,.16,.04,.2,.48,12,.46,2.1,0.008,0.20,MW,N
0.063,1.60,80008S,.44,11.1,.76,.13,.03,.2,.35,8.9,.30,1.3,0.008,0.20,SST,N
0.063,1.60,80015,.44,11.1,1.7,.30,.06,.3,.35,8.8,.65,2.9,0.009,0.23,MW,N
0.063,1.60,80015S,.44,11.1,1.4,.25,.05,.2,.26,6.5,.42,1.9,0.009,0.23,SST,N
0.063,1.60,80022,.44,11.2,4.8,.84,.1,.4,.22,5.6,1.1,5.1,0.011,0.28,MW,N
0.063,1.60,80022S,.44,11.2,4.1,.71,.09,.4,.16,4.1,.74,3.3,0.011,0.28,SST,N
0.063,1.60,80004,.50,12.7,.38,.07,.03,.1,.77,20,.32,1.4,0.007,0.18,MW,N
0.063,1.60,80004S,.50,12.7,.32,.06,.03,.1,.59,15,.22,.96,0.007,0.18,SST,N
0.063,1.60,80009,.50,12.7,.72,.13,.04,.2,.59,15,.46,2.1,0.008,0.20,MW,N
0.063,1.60,80009S,.50,12.7,.61,.11,.03,.2,.44,11,.30,1.3,0.008,0.20,SST,N
0.063,1.60,80016,.50,12.7,1.4,.25,.06,.3,.42,11,.65,2.9,0.009,0.23,MW,N
0.063,1.60,80016S,.50,12.7,1.2,.21,.05,.2,.31,7.9,.42,1.9,0.009,0.23,SST,N
0.063,1.60,80023,.50,12.7,4.1,.72,.1,.4,.26,6.5,1.1,5.1,0.011,0.28,MW,N
0.063,1.60,80023S,.50,12.7,3.5,.61,.09,.4,.19,4.8,.74,3.3,0.011,0.28,SST,N
0.063,1.60,ZZ3-2,.63,15.9,.51,.09,.05,.2,.52,13,.32,1.4,0.008,0.20,SST,N
0.063,1.60,80010,.63,15.9,.59,.10,.04,.2,.72,18,.46,2.1,0.008,0.20,MW,N
0.063,1.60,80010S,.63,15.9,.50,.09,.03,.2,.54,14,.30,1.3,0.008,0.20,SST,N
0.063,1.60,80017,.63,15.9,1.1,.19,.06,.3,.53,14,.65,2.9,0.009,0.23,MW,N
0.063,1.60,80017S,.63,15.9,.94,.16,.05,.2,.40,10,.42,1.9,0.009,0.23,SST,N
0.063,1.60,80024,.63,15.9,3.2,.56,.1,.4,.33,8.3,1.1,5.1,0.011,0.28,MW,N
0.063,1.60,80024S,.63,15.9,2.7,.48,.09,.4,.24,6.2,.74,3.3,0.011,0.28,SST,N
0.063,1.60,ZZ3-18,.66,16.7,.46,.08,.05,.2,.58,15,.32,1.4,0.008,0.20,SST,N
0.063,1.60,80011,.75,19.1,.48,.08,.04,.2,.88,22,.46,2.1,0.008,0.20,MW,N
0.063,1.60,80011S,.75,19.1,.41,.07,.03,.2,.65,17,.30,1.3,0.008,0.20,SST,N
0.063,1.60,ZZ2-24,.75,19.1,.78,.14,.09,.4,.48,12,.46,2.0,0.009,0.23,SST,N
