Bestellnummer,Hersteller,Werkstoff,Oesenform,d[mm] Drahtdurchmesser,De[mm] Ausserer Windungsdurchmesser,Detol[mm] (+-) Tolereanz fuer ausseren Windungsdurchmesser,Dh[mm] Kleinster Huelsendurchmesser,Oesenstellung,Oesensttol,L0[mm] Laenge unbelastete Feder,L0tol[mm] (+-) Toleranz fuer ungespannte Laenge,Lk[mm] Laenge der unbelasteten Feder,Lh[mm] Abstand der Oeseninnenkante vom Federkoerper,F0[N] Innere Vorspannkraft,Fn[N] Hoechstkraft bei statischer Belastung,Fntol[N] (+-) Toleranz bei statischer Hoechstkraft,k[N/mm] Federrate,Sn[mm] Groesster Federweg bei statischer Belastung,Masse,Preisgruppe,W[Nmm] Federungsarbeit,Ln[mm] Maximal zulaessige Laenge,Lr[mm] Relevante Laenge,Lf[mm] Freie Laenge,V[Nmm] Maximale potentielle Energie
RZ-001I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.2,2.7,0.15,3.2,180,25,6.2,0.6,2.5,1.85,0.061,1.101,0.13,0.078,13.29,0.026,ZG,7.72149,19.49,14.11538462,5.374615385,7.770519231
RZ-001X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.2,2.7,0.15,3.2,270,26,6.2,0.6,2.55,1.82,0.061,1.101,0.13,0.076,13.58,0.026,ZG,7.88998,19.78,14.48684211,5.293157895,7.975006579
RZ-002I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.2,2.7,0.15,3.2,180,37,8.8,0.6,5.1,1.85,0.061,1.101,0.1,0.037,28.31,0.051,ZG,16.44811,37.11,29.75675676,7.353243243,16.38109459
RZ-002X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.2,2.7,0.15,3.2,270,37,8.8,0.6,5.15,1.82,0.061,1.101,0.1,0.036,28.6,0.052,ZG,16.6166,37.4,30.58333333,6.816666667,16.836125
RZ-003AI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.2,2.7,0.15,3.2,180,76,24.5,0.7,20.7,1.9,0.061,1.101,0.09,0.009,118.9,0.203,ZH,69.0809,143.4,122.3333333,21.06666667,67.3445
RZ-003AX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.2,2.7,0.15,3.2,270,76,24.5,0.7,20.75,1.87,0.061,1.101,0.09,0.009,119.26,0.204,ZH,69.29006,143.76,122.3333333,21.42666667,67.3445
RZ-003I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.2,2.7,0.15,3.2,180,47,11.8,0.6,8.1,1.85,0.061,1.101,0.1,0.023,45.64,0.081,ZG,26.51684,57.44,47.86956522,9.570434783,26.35219565
RZ-003X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.2,2.7,0.15,3.2,270,47,11.8,0.6,8.15,1.82,0.061,1.101,0.1,0.022,45.93,0.081,ZG,26.68533,57.73,50.04545455,7.684545455,27.55002273
RZ-004I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.2,2.2,0.15,2.7,180,17,4.4,0.6,1.5,1.45,0.081,1.341,0.18,0.269,4.66,0.013,ZG,3.31326,9.06,4.985130112,4.074869888,3.34252974
RZ-004X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.2,2.2,0.15,2.7,270,17,4.4,0.6,1.55,1.42,0.081,1.341,0.18,0.259,4.84,0.013,ZG,3.44124,9.24,5.177606178,4.062393822,3.471584942
RZ-005I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.2,2.2,0.15,2.7,180,32,8,0.6,5.1,1.45,0.081,1.341,0.12,0.071,17.57,0.041,ZG,12.49227,25.57,18.88732394,6.682676056,12.6639507
RZ-005X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.2,2.2,0.15,2.7,270,32,8,0.6,5.15,1.42,0.081,1.341,0.12,0.071,17.75,0.041,ZG,12.62025,25.75,18.88732394,6.862676056,12.6639507
RZ-006AI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,4.2,0.25,4.9,180,22,7.6,0.6,1.62,2.98,0.031,1.371,0.24,0.101,13.26,0.035,ZG,9.29526,20.86,13.57425743,7.285742574,9.305153465
RZ-006AX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,4.2,0.25,4.9,270,22,7.6,0.6,1.68,2.95,0.031,1.371,0.23,0.097,13.87,0.036,ZG,9.72287,21.47,14.13402062,7.335979381,9.688871134
RZ-006BI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,4.2,0.25,4.9,180,28,8.6,0.6,2.62,2.98,0.031,1.371,0.19,0.059,22.91,0.054,ZG,16.05991,31.51,23.23728814,8.272711864,15.92916102
RZ-006BX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,4.2,0.25,4.9,270,28,8.6,0.6,2.68,2.95,0.031,1.371,0.19,0.057,23.51,0.055,ZG,16.48051,32.11,24.05263158,8.057368421,16.48807895
RZ-006CI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,4.2,0.25,4.9,180,36,10.2,0.6,4.12,3.03,0.031,1.371,0.16,0.036,37.38,0.083,ZG,26.20338,47.58,38.08333333,9.496666667,26.106125
RZ-006CX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,4.2,0.25,4.9,270,36,10.2,0.6,4.18,3,0.031,1.371,0.16,0.035,37.98,0.084,ZG,26.62398,48.18,39.17142857,9.008571429,26.85201429
RZ-006DI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,4.2,0.25,4.9,180,45,12.4,0.6,6.37,3.01,0.031,1.371,0.14,0.023,59.09,0.126,ZG,41.42209,71.49,59.60869565,11.88130435,40.86176087
RZ-006DX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,4.2,0.25,4.9,270,45,12.4,0.6,6.43,2.98,0.031,1.371,0.14,0.022,59.69,0.128,ZG,41.84269,72.09,62.31818182,9.771818182,42.71911364
RZ-006EI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,4.2,0.25,4.9,180,57,16.2,0.7,10.12,3.03,0.031,1.371,0.13,0.014,95.26,0.199,ZG,66.77726,111.46,97.92857143,13.53142857,67.13003571
RZ-006EX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,4.2,0.25,4.9,270,57,16.2,0.7,10.18,3,0.031,1.371,0.13,0.014,95.87,0.2,ZG,67.20487,112.07,97.92857143,14.14142857,67.13003571
RZ-006FI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,5,0.3,5.7,180,34,10,0.6,2.63,3.68,0.021,1.08,0.17,0.034,31.61,0.065,ZH,17.401305,41.61,31.76470588,9.845294118,17.15294118
RZ-006FX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,5,0.3,5.7,270,34,10,0.6,2.69,3.65,0.021,1.08,0.17,0.033,32.41,0.067,ZH,17.841705,42.41,32.72727273,9.682727273,17.67272727
RZ-006GI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,5,0.3,5.7,180,49,12.7,0.6,5.38,3.66,0.021,1.08,0.13,0.016,68.14,0.129,ZH,37.51107,80.84,67.5,13.34,36.45
