Bestellnummer,Hersteller,k[N/mm] Federrate,Masse,Lr[mm] Relevante Laenge,V[Nmm] Maximale potentielle Energie,Fn[N] Hoechstkraft bei statischer Belastung,De[mm] Ausserer Windungsdurchmesser,d[mm] Drahtdurchmesser
RZ-001I,Gutekunst,0.078,0.026,14.11538462,7.770519231,1.101,2.7,0.2
RZ-001X,Gutekunst,0.076,0.026,14.48684211,7.975006579,1.101,2.7,0.2
RZ-002I,Gutekunst,0.037,0.051,29.75675676,16.38109459,1.101,2.7,0.2
RZ-002X,Gutekunst,0.036,0.052,30.58333333,16.836125,1.101,2.7,0.2
RZ-003AI,Gutekunst,0.009,0.203,122.3333333,67.3445,1.101,2.7,0.2
RZ-003AX,Gutekunst,0.009,0.204,122.3333333,67.3445,1.101,2.7,0.2
RZ-003I,Gutekunst,0.023,0.081,47.86956522,26.35219565,1.101,2.7,0.2
RZ-003X,Gutekunst,0.022,0.081,50.04545455,27.55002273,1.101,2.7,0.2
RZ-004I,Gutekunst,0.269,0.013,4.985130112,3.34252974,1.341,2.2,0.2
RZ-004X,Gutekunst,0.259,0.013,5.177606178,3.471584942,1.341,2.2,0.2
RZ-005I,Gutekunst,0.071,0.041,18.88732394,12.6639507,1.341,2.2,0.2
RZ-005X,Gutekunst,0.071,0.041,18.88732394,12.6639507,1.341,2.2,0.2
RZ-006AI,Gutekunst,0.101,0.035,13.57425743,9.305153465,1.371,4.2,0.25
RZ-006AX,Gutekunst,0.097,0.036,14.13402062,9.688871134,1.371,4.2,0.25
RZ-006BI,Gutekunst,0.059,0.054,23.23728814,15.92916102,1.371,4.2,0.25
RZ-006BX,Gutekunst,0.057,0.055,24.05263158,16.48807895,1.371,4.2,0.25
RZ-006CI,Gutekunst,0.036,0.083,38.08333333,26.106125,1.371,4.2,0.25
RZ-006CX,Gutekunst,0.035,0.084,39.17142857,26.85201429,1.371,4.2,0.25
RZ-006DI,Gutekunst,0.023,0.126,59.60869565,40.86176087,1.371,4.2,0.25
RZ-006DX,Gutekunst,0.022,0.128,62.31818182,42.71911364,1.371,4.2,0.25
RZ-006EI,Gutekunst,0.014,0.199,97.92857143,67.13003571,1.371,4.2,0.25
RZ-006EX,Gutekunst,0.014,0.2,97.92857143,67.13003571,1.371,4.2,0.25
RZ-006FI,Gutekunst,0.034,0.065,31.76470588,17.15294118,1.08,5,0.25
RZ-006FX,Gutekunst,0.033,0.067,32.72727273,17.67272727,1.08,5,0.25
RZ-006GI,Gutekunst,0.016,0.129,67.5,36.45,1.08,5,0.25
RZ-006GX,Gutekunst,0.015,0.13,72,38.88,1.08,5,0.25
RZ-006HI,Gutekunst,0.007,0.256,154.2857143,83.31428571,1.08,5,0.25
RZ-006HX,Gutekunst,0.007,0.258,154.2857143,83.31428571,1.08,5,0.25
RZ-006I,Gutekunst,0.044,0.064,30.47727273,20.43501136,1.341,2.2,0.2
RZ-006JI,Gutekunst,0.004,0.511,270,145.8,1.08,5,0.25
RZ-006JX,Gutekunst,0.004,0.513,270,145.8,1.08,5,0.25
RZ-006KI,Gutekunst,0.002,1.021,540,291.6,1.08,5,0.25
RZ-006KX,Gutekunst,0.002,1.022,540,291.6,1.08,5,0.25
RZ-006X,Gutekunst,0.044,0.065,30.47727273,20.43501136,1.341,2.2,0.2
RZ-007I,Gutekunst,0.09,0.052,18.45555556,15.32733889,1.661,3.45,0.25
RZ-007X,Gutekunst,0.089,0.053,18.66292135,15.49955618,1.661,3.45,0.25
RZ-008I,Gutekunst,0.043,0.102,38.62790698,32.08047674,1.661,3.45,0.25
RZ-008X,Gutekunst,0.042,0.103,39.54761905,32.84429762,1.661,3.45,0.25
RZ-009AI,Gutekunst,0.02,0.216,83.05,68.973025,1.661,3.45,0.25
RZ-009AX,Gutekunst,0.019,0.216,87.42105263,72.60318421,1.661,3.45,0.25
RZ-009I,Gutekunst,0.026,0.161,63.88461538,53.05617308,1.661,3.45,0.25
RZ-009X,Gutekunst,0.026,0.162,63.88461538,53.05617308,1.661,3.45,0.25
RZ-010I,Gutekunst,0.191,0.04,10.79057592,11.11968848,2.061,2.75,0.25
RZ-010X,Gutekunst,0.186,0.041,11.08064516,11.41860484,2.061,2.75,0.25
RZ-011I,Gutekunst,0.089,0.08,23.15730337,23.86360112,2.061,2.75,0.25
RZ-011X,Gutekunst,0.088,0.081,23.42045455,24.13477841,2.061,2.75,0.25
RZ-012AI,Gutekunst,0.047,0.147,43.85106383,45.18852128,2.061,2.75,0.25
RZ-012AX,Gutekunst,0.047,0.147,43.85106383,45.18852128,2.061,2.75,0.25
RZ-012BI,Gutekunst,0.041,0.169,50.26829268,51.80147561,2.061,2.75,0.25
RZ-012BX,Gutekunst,0.041,0.169,50.26829268,51.80147561,2.061,2.75,0.25
RZ-012CI,Gutekunst,0.036,0.193,57.25,58.996125,2.061,2.75,0.25
RZ-012CX,Gutekunst,0.035,0.194,58.88571429,60.68172857,2.061,2.75,0.25
RZ-012DI,Gutekunst,0.032,0.217,64.40625,66.37064063,2.061,2.75,0.25
RZ-012DX,Gutekunst,0.031,0.218,66.48387097,68.51162903,2.061,2.75,0.25
RZ-012EI,Gutekunst,0.028,0.242,73.60714286,75.85216071,2.061,2.75,0.25
RZ-012EX,Gutekunst,0.028,0.242,73.60714286,75.85216071,2.061,2.75,0.25
RZ-012I,Gutekunst,0.055,0.126,37.47272727,38.61564545,2.061,2.75,0.25
RZ-012X,Gutekunst,0.055,0.127,37.47272727,38.61564545,2.061,2.75,0.25
RZ-013I,Gutekunst,0.4,0.032,6.3775,8.13450125,2.551,2.2,0.25
RZ-013X,Gutekunst,0.392,0.032,6.507653061,8.30051148,2.551,2.2,0.25
RZ-014I,Gutekunst,0.188,0.063,13.56914894,17.30744947,2.551,2.2,0.25
RZ-014X,Gutekunst,0.186,0.063,13.71505376,17.49355108,2.551,2.2,0.25
RZ-015AI,Gutekunst,0.099,0.115,25.76767677,32.86667172,2.551,2.2,0.25
RZ-015AX,Gutekunst,0.099,0.115,25.76767677,32.86667172,2.551,2.2,0.25
RZ-015BI,Gutekunst,0.086,0.131,29.6627907,37.83488953,2.551,2.2,0.25
RZ-015BX,Gutekunst,0.086,0.132,29.6627907,37.83488953,2.551,2.2,0.25
RZ-015CI,Gutekunst,0.075,0.15,34.01333333,43.38400667,2.551,2.2,0.25
RZ-015CX,Gutekunst,0.075,0.151,34.01333333,43.38400667,2.551,2.2,0.25
RZ-015DI,Gutekunst,0.066,0.17,38.65151515,49.30000758,2.551,2.2,0.25
RZ-015DX,Gutekunst,0.066,0.17,38.65151515,49.30000758,2.551,2.2,0.25
RZ-015EI,Gutekunst,0.059,0.189,43.23728814,55.14916102,2.551,2.2,0.25
RZ-015EX,Gutekunst,0.059,0.189,43.23728814,55.14916102,2.551,2.2,0.25
RZ-015FI,Gutekunst,0.12,0.075,18.00833333,19.45800417,2.161,5.5,0.32
RZ-015FX,Gutekunst,0.115,0.078,18.79130435,20.30400435,2.161,5.5,0.32
RZ-015GI,Gutekunst,0.07,0.116,30.87142857,33.35657857,2.161,5.5,0.32
RZ-015GX,Gutekunst,0.068,0.119,31.77941176,34.33765441,2.161,5.5,0.32
RZ-015HI,Gutekunst,0.043,0.178,50.25581395,54.30140698,2.161,5.5,0.32
RZ-015HX,Gutekunst,0.042,0.181,51.45238095,55.59429762,2.161,5.5,0.32
RZ-015I,Gutekunst,0.117,0.098,21.8034188,27.81026068,2.551,2.2,0.25
RZ-015JI,Gutekunst,0.027,0.272,80.03703704,86.48001852,2.161,5.5,0.32
RZ-015JX,Gutekunst,0.027,0.274,80.03703704,86.48001852,2.161,5.5,0.32
RZ-015KI,Gutekunst,0.017,0.427,127.1176471,137.3506176,2.161,5.5,0.32
RZ-015KX,Gutekunst,0.017,0.429,127.1176471,137.3506176,2.161,5.5,0.32
RZ-015LI,Gutekunst,0.011,0.634,196.4545455,212.2691364,2.161,5.5,0.32
RZ-015LX,Gutekunst,0.011,0.636,196.4545455,212.2691364,2.161,5.5,0.32
